Subgroup,ATT (%),CI Lower,CI Upper,N,p_value
Distance: 0_250m,19.611818960292737,16.493914127026123,22.813173050305146,23609,2.686998757199547e-40
Distance: 250_500m,11.50728554676319,9.914249504954986,13.123410167549366,24173,8.59509909931302e-50
Distance: 500m_1km,6.8036310692697555,5.6120183232140075,8.008688695549449,25309,1.3451341188438345e-30
Line: Blue,8.902924940474154,5.617064339612288,12.291012202868457,24482,4.866452942707094e-08
Line: Green,9.43194799179281,8.537181519295899,10.334090803246564,25322,1.0774387165988417e-102
Station Type: Interchange,13.36506119166867,11.588575255862942,15.169828716990864,23609,1.2323218452917813e-54
Station Type: Terminal,9.872713456285753,9.09423965236491,10.656742287358533,24012,1.69639771849809e-148
Station Type: Intermediate,8.653962274161309,7.202362915581184,10.125217362713457,25470,1.1257566636856816e-33
Era: Pre-COVID,10.382572042260119,9.55990563443847,11.21141571004416,18503,1.0924803625310168e-147
Era: Post-COVID,inf,-100.0,inf,8014,0.8073004449537997
