Specification,ATT (%),95% CI,N,R^2,p-value
Main Model,9.33,"[7.97, 10.70]",26517,0.944,0.0000
Distance: 0_250m,19.61,"[16.49, 22.81]",23609,-,0.0000
Distance: 250_500m,11.51,"[9.91, 13.12]",24173,-,0.0000
Distance: 500m_1km,6.80,"[5.61, 8.01]",25309,-,0.0000
Line: Blue,8.90,"[5.62, 12.29]",24482,-,0.0000
Line: Green,9.43,"[8.54, 10.33]",25322,-,0.0000
Station Type: Interchange,13.37,"[11.59, 15.17]",23609,-,0.0000
Station Type: Terminal,9.87,"[9.09, 10.66]",24012,-,0.0000
Station Type: Intermediate,8.65,"[7.20, 10.13]",25470,-,0.0000
Era: Pre-COVID,10.38,"[9.56, 11.21]",18503,-,0.0000
Era: Post-COVID,inf,"[-100.00, inf]",8014,-,0.8073
