year,area_sqft,declared_value,sro_name,distance_to_metro_m,property_type,treated,post,price_sqft
2023,2000,16374408,Adyar,2659,Apartment,0,1,8187.2
2021,1500,19823061,Adyar,1530,Commercial,0,1,13215.37
2016,1500,9652353,Mylapore,1530,Apartment,0,1,6434.9
2022,1000,3437497,Chromepet,3547,Plot,0,1,3437.5
2019,1500,11177335,T. Nagar,393,Apartment,1,1,7451.56
2022,800,5979167,Ekkattuthangal,639,Apartment,1,1,7473.96
2011,1500,7320305,Mylapore,1434,Apartment,0,0,4880.2
2012,2500,7820924,Chromepet,3000,Commercial,0,0,3128.37
2018,1200,7963070,Alandur,519,House,1,1,6635.89
2022,800,9071565,Mylapore,2163,House,0,1,11339.46
2018,1000,7032522,Guindy,620,Apartment,1,1,7032.52
2017,2500,14870746,Ekkattuthangal,789,House,1,1,5948.3
2022,800,3045303,Tambaram,3863,Apartment,0,1,3806.63
2011,3000,11394223,T. Nagar,696,Apartment,1,0,3798.07
2020,1000,8402154,T. Nagar,154,Apartment,1,1,8402.15
2014,1500,7616183,T. Nagar,390,House,1,0,5077.46
2017,2000,9658111,Ekkattuthangal,706,Apartment,1,1,4829.06
2023,800,6242676,Saidapet,881,Apartment,1,1,7803.35
2021,800,5153272,Alandur,1047,Apartment,0,1,6441.59
2021,2000,15467461,Guindy,476,Apartment,1,1,7733.73
2017,1200,4327630,Tambaram,3282,Apartment,0,1,3606.36
2018,1000,2784722,Chromepet,2183,Plot,0,1,2784.72
2011,1000,5217303,Mylapore,2536,Apartment,0,0,5217.3
2018,1500,8724237,Ekkattuthangal,924,Apartment,1,1,5816.16
2016,1200,7516316,Saidapet,419,Apartment,1,1,6263.6
2017,2000,12318155,Ekkattuthangal,715,House,1,1,6159.08
2018,3000,21996390,Guindy,393,Apartment,1,1,7332.13
2022,1500,13608557,Guindy,300,House,1,1,9072.37
2020,1000,8229547,T. Nagar,552,House,1,1,8229.55
2017,800,3807971,Guindy,739,Plot,1,1,4759.96
2012,2000,3725654,Tambaram,4520,Plot,0,0,1862.83
2019,1000,3951483,Chromepet,2123,House,0,1,3951.48
2022,2000,17646634,Guindy,403,House,1,1,8823.32
2013,1200,7391156,T. Nagar,357,Commercial,1,0,6159.3
2021,2000,12382871,Guindy,727,Plot,1,1,6191.44
2019,1000,4008197,Tambaram,2098,Apartment,0,1,4008.2
2023,1500,11977951,Saidapet,362,Apartment,1,1,7985.3
2018,1500,11065434,Alandur,753,Commercial,1,1,7376.96
2022,1500,14032542,Guindy,787,House,1,1,9355.03
2013,1500,5814856,Nanganallur,2188,Commercial,0,0,3876.57
2011,1200,4989853,Saidapet,476,House,1,0,4158.21
2013,600,3692234,T. Nagar,665,Commercial,1,0,6153.72
2013,2500,10367137,Ekkattuthangal,817,House,1,0,4146.85
2023,2000,16905113,T. Nagar,265,Apartment,1,1,8452.56
2012,2500,12860120,T. Nagar,277,House,1,0,5144.05
2016,1000,7329418,Mylapore,2025,Apartment,0,1,7329.42
2020,1500,6434426,Chromepet,2909,House,0,1,4289.62
2013,1500,4679346,Chromepet,2037,Apartment,0,0,3119.56
2023,800,3845405,Chromepet,1535,Apartment,0,1,4806.76
2022,1200,11932420,T. Nagar,620,House,1,1,9943.68
2019,3000,15240116,Nanganallur,850,Apartment,1,1,5080.04
2020,1200,12323396,Guindy,791,Commercial,1,1,10269.5
2015,2500,12752245,Ekkattuthangal,563,Apartment,1,1,5100.9
2013,1500,6227131,Alandur,599,House,1,0,4151.42
2020,2000,13210885,Saidapet,835,Apartment,1,1,6605.44
2015,800,3938031,Adyar,2569,Apartment,0,1,4922.54
2015,2500,6083264,Tambaram,3931,Apartment,0,1,2433.31
2019,1000,4774296,Nanganallur,1359,House,0,1,4774.3
2015,1200,7060720,Adyar,1903,House,0,1,5883.93
2019,800,4285801,Ekkattuthangal,385,Apartment,1,1,5357.25
2014,600,2867388,Guindy,193,Apartment,1,0,4778.98
2015,1500,7784701,Alandur,538,Apartment,1,1,5189.8
2012,600,2035495,Ekkattuthangal,399,Apartment,1,0,3392.49
2023,800,8194113,Mylapore,2748,Apartment,0,1,10242.64
2011,1500,9909525,Adyar,1457,Commercial,0,0,6606.35
2011,1200,5456309,T. Nagar,529,Apartment,1,0,4546.92
2013,1500,7146499,Ekkattuthangal,567,Commercial,1,0,4764.33
2013,1200,4968546,Saidapet,452,House,1,0,4140.46
2023,600,4026378,Chromepet,2275,Commercial,0,1,6710.63
2015,2500,11460424,Alandur,1075,Apartment,0,1,4584.17
2015,1200,6186165,Mylapore,2128,Plot,0,1,5155.14
2014,2000,8504279,T. Nagar,248,Apartment,1,0,4252.14
2022,2000,17628969,Mylapore,1436,Apartment,0,1,8814.48
2014,1000,6468820,Guindy,161,Commercial,1,0,6468.82
2014,2500,12234504,T. Nagar,326,Apartment,1,0,4893.8
2015,1500,6937125,Alandur,755,Apartment,1,1,4624.75
2014,2000,6955504,Alandur,718,Plot,1,0,3477.75
2022,2000,12071998,Tambaram,2953,Commercial,0,1,6036.0
2012,800,4977508,Mylapore,2816,Commercial,0,0,6221.89
2023,2000,19439184,Mylapore,2919,Apartment,0,1,9719.59
2023,1200,12733131,Adyar,1416,Commercial,0,1,10610.94
2013,1200,3794181,Chromepet,1538,Apartment,0,0,3161.82
2022,2000,14181231,Chromepet,3183,Commercial,0,1,7090.62
2022,2000,9109814,Tambaram,3214,Apartment,0,1,4554.91
2016,3000,13349523,Nanganallur,1940,Commercial,0,1,4449.84
2021,1000,3941024,Nanganallur,2036,Plot,0,1,3941.02
2019,1500,12153601,T. Nagar,681,House,1,1,8102.4
2016,1500,8291277,Ekkattuthangal,865,Apartment,1,1,5527.52
2016,1500,4681224,Chromepet,2467,Apartment,0,1,3120.82
2022,1000,4518181,Chromepet,2039,Apartment,0,1,4518.18
2011,1200,2952882,Nanganallur,1758,Apartment,0,0,2460.74
2016,1500,7788828,T. Nagar,402,Plot,1,1,5192.55
2020,2000,6101337,Tambaram,4497,Plot,0,1,3050.67
2019,2000,10236112,Guindy,381,Plot,1,1,5118.06
2019,1000,6890082,Guindy,709,Apartment,1,1,6890.08
2015,1200,7655106,Ekkattuthangal,864,Commercial,1,1,6379.26
2019,2500,13297621,Ekkattuthangal,377,Apartment,1,1,5319.05
2012,800,3360445,Guindy,587,Apartment,1,0,4200.56
2012,2000,5697318,Chromepet,1749,Apartment,0,0,2848.66
2017,1500,10353478,Ekkattuthangal,700,Commercial,1,1,6902.32
2013,1500,4570264,Saidapet,274,Plot,1,0,3046.84
2021,1500,11375453,Saidapet,534,Apartment,1,1,7583.64
2011,1200,3986223,Tambaram,2165,Commercial,0,0,3321.85
2018,2000,16102418,Ekkattuthangal,437,Commercial,1,1,8051.21
2012,1200,4900222,Alandur,318,House,1,0,4083.52
2019,1500,10593141,T. Nagar,260,Apartment,1,1,7062.09
2014,1200,3981747,Nanganallur,2343,Apartment,0,0,3318.12
2020,2000,15515927,Saidapet,260,Apartment,1,1,7757.96
2020,800,5445393,Saidapet,803,Apartment,1,1,6806.74
2020,600,2556769,Chromepet,3468,House,0,1,4261.28
2019,1200,4488176,Tambaram,4094,House,0,1,3740.15
2014,1500,8698662,Guindy,125,Commercial,1,0,5799.11
2018,1500,8124652,Alandur,968,Apartment,1,1,5416.43
2021,1500,5537947,Chromepet,2025,Apartment,0,1,3691.97
2021,800,7956263,Adyar,1949,House,0,1,9945.33
2015,1500,3347355,Tambaram,3654,Apartment,0,1,2231.57
2016,800,4870025,Guindy,330,Apartment,1,1,6087.53
2013,1200,5410054,Alandur,643,House,1,0,4508.38
2016,1500,8075895,Alandur,360,House,1,1,5383.93
2016,1500,6088459,Tambaram,4660,Commercial,0,1,4058.97
2016,1000,6698044,Mylapore,2276,House,0,1,6698.04
2017,600,3926129,Mylapore,2560,Apartment,0,1,6543.55
2018,1200,6196406,Ekkattuthangal,847,Apartment,1,1,5163.67
2013,1500,12010326,Mylapore,3421,Commercial,0,0,8006.88
2023,1000,12696299,Mylapore,2858,Commercial,0,1,12696.3
2011,1500,5364671,Guindy,631,House,1,0,3576.45
2014,1500,4702943,Nanganallur,938,Apartment,1,0,3135.3
2022,1500,8435363,Ekkattuthangal,949,Apartment,1,1,5623.58
2015,800,4705882,Alandur,570,Apartment,1,1,5882.35
2011,1500,8393525,T. Nagar,244,Commercial,1,0,5595.68
2015,2500,14989115,Saidapet,533,House,1,1,5995.65
2015,1000,6825924,Mylapore,2272,Apartment,0,1,6825.92
2015,1500,6884049,Ekkattuthangal,464,Apartment,1,1,4589.37
2012,1200,4668585,Chromepet,3636,Commercial,0,0,3890.49
2011,1200,5688998,T. Nagar,571,House,1,0,4740.83
2018,1200,7977282,Adyar,2020,Apartment,0,1,6647.74
2013,1200,4265282,Nanganallur,2469,House,0,0,3554.4
2017,3000,19772522,Guindy,577,House,1,1,6590.84
2023,1500,6678265,Tambaram,3120,Apartment,0,1,4452.18
2021,800,4822761,Chromepet,2016,Commercial,0,1,6028.45
2014,2000,7821985,Alandur,465,Apartment,1,0,3910.99
2013,1200,5103285,Saidapet,610,House,1,0,4252.74
2020,1000,5517311,Ekkattuthangal,310,Apartment,1,1,5517.31
2018,1500,5902243,Chromepet,3688,House,0,1,3934.83
2021,1500,10042708,Mylapore,2227,Plot,0,1,6695.14
2020,1200,13867973,Mylapore,1526,Commercial,0,1,11556.64
2013,2500,6748712,Tambaram,3013,House,0,0,2699.48
2020,800,7318642,Ekkattuthangal,704,Commercial,1,1,9148.3
2016,1500,4629216,Tambaram,3854,House,0,1,3086.14
2014,1500,5443770,Tambaram,2201,Commercial,0,0,3629.18
2019,2500,23986306,T. Nagar,393,Commercial,1,1,9594.52
2021,2500,15000467,Guindy,739,Apartment,1,1,6000.19
